Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
0.5116279069767441,0.6000000000000001,0.5,0.0,0.0,0.4999999999999999,0.45999999999999996,0.5,1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,67
0.4186046511627907,0.10000000000000009,0.5,1.0,0.0,0.6666666666666666,0.17999999999999994,0.5,1.0,0.25,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.5,0.0,61
0.5348837209302325,0.9500000000000002,1.0,1.0,1.0,0.4999999999999999,0.8200000000000001,1.0,1.0,0.25,1.0,1.0,1.0,0.5,0.6666666666666666,0.0,1.0,1.0,1.0,74
0.6511627906976744,0.7250000000000001,0.5,1.0,1.0,0.6666666666666666,0.96,1.0,1.0,0.125,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.5,0.5,1.0,71
0.4186046511627907,0.8000000000000003,1.0,1.0,1.0,0.33333333333333337,0.30000000000000004,1.0,1.0,0.375,1.0,0.0,1.0,0.5,0.6666666666666666,0.0,0.0,1.0,0.0,70
0.4186046511627907,0.7000000000000002,1.0,1.0,1.0,0.6666666666666666,0.78,1.0,1.0,0.375,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,71
0.6511627906976744,0.6000000000000001,1.0,0.5,1.0,0.4999999999999999,0.3600000000000001,0.5,1.0,0.125,0.5,1.0,0.0,0.5,0.3333333333333333,0.0,0.5,0.5,1.0,67
0.5581395348837209,0.4500000000000002,0.5,0.0,1.0,0.33333333333333337,0.0,1.0,1.0,0.125,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.5,0.0,1.0,66
0.37209302325581395,0.8500000000000001,1.0,0.0,0.0,0.33333333333333337,0.6000000000000001,0.0,1.0,0.0,1.0,0.5,0.0,0.5,0.16666666666666666,0.0,0.0,1.0,1.0,69
0.5116279069767441,0.9500000000000002,1.0,1.0,1.0,0.6666666666666666,0.41999999999999993,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.8333333333333333,0.0,0.5,0.5,1.0,72
0.37209302325581395,0.5,0.5,0.0,0.0,0.6666666666666666,0.76,1.0,0.0,0.5,1.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.5,1.0,68
0.37209302325581395,0.9250000000000003,1.0,0.0,1.0,0.33333333333333337,0.74,0.5,1.0,0.25,0.5,0.0,0.0,0.5,0.3333333333333333,0.0,0.5,1.0,1.0,71
0.46511627906976744,0.5750000000000002,1.0,1.0,1.0,0.6666666666666666,0.94,0.5,1.0,0.25,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.5,1.0,1.0,70
0.18604651162790697,0.5500000000000003,1.0,1.0,1.0,0.6666666666666666,0.43999999999999995,1.0,1.0,0.25,1.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,66
0.20930232558139533,0.4500000000000002,1.0,0.0,1.0,0.6666666666666666,0.48,1.0,1.0,0.125,0.5,1.0,0.0,0.5,0.6666666666666666,0.0,1.0,1.0,1.0,65
0.37209302325581395,0.20000000000000018,1.0,1.0,0.0,0.6666666666666666,0.40000000000000013,1.0,1.0,0.25,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.5,1.0,0.0,64
0.3023255813953489,0.0,1.0,0.5,1.0,0.9999999999999999,0.30000000000000004,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,60
0.48837209302325585,0.25,0.5,1.0,1.0,0.33333333333333337,0.6400000000000001,1.0,1.0,0.125,0.5,0.0,1.0,0.5,0.5,0.0,0.5,1.0,0.0,65
0.32558139534883723,0.5,1.0,1.0,1.0,0.8333333333333334,0.8200000000000001,0.5,1.0,0.375,0.5,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.5,0.0,67
0.2558139534883721,0.375,1.0,0.0,1.0,0.4999999999999999,0.15999999999999992,1.0,1.0,0.375,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,66
0.6511627906976744,0.4500000000000002,1.0,1.0,0.0,0.16666666666666663,0.98,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.16666666666666666,0.0,0.5,0.5,0.0,69
0.4186046511627907,0.9750000000000001,1.0,0.0,0.0,0.33333333333333337,0.6799999999999999,1.0,1.0,0.125,1.0,0.0,1.0,0.5,0.5,0.0,0.5,1.0,1.0,72
